id	name	now_prices	up_down_rates	up_downs	up_rates	turnover_rates	volume_ratios	amplitudes	turnovers	tradable_shares	market_values	pe_ratios
600162	香江控股	3.47	-1.14	-0.04	--	2.11	1.10	4.27	1.29亿	17.74亿	61.57亿	27.73
600470	六国化工	6.06	-1.14	-0.07	--	1.32	1.55	6.85	4145.62万	5.22亿	31.61亿	--
603936	博敏电子	24.13	-1.15	-0.28	0.21	1.66	1.01	3.77	2223.87万	5610.00万	13.54亿	83.91
600203	福日电子	8.60	-1.15	-0.10	-0.12	0.88	1.21	4.71	2275.28万	3.03亿	26.07亿	68.20
600505	西昌电力	8.55	-1.16	-0.10	--	0.74	0.93	4.62	2283.89万	3.65亿	31.17亿	75.49
600802	福建水泥	9.40	-1.16	-0.11	-0.11	3.76	1.13	9.67	1.33亿	3.82亿	35.90亿	--
600855	航天长峰	19.62	-1.16	-0.23	-0.05	2.31	0.85	4.63	1.48亿	3.30亿	64.77亿	--
600119	长江投资	14.43	-1.16	-0.17	0.07	2.83	1.05	7.53	1.24亿	3.07亿	44.36亿	110.20
600006	东风汽车	5.92	-1.17	-0.07	--	0.52	1.85	4.34	6062.31万	20.00亿	118.40亿	42.10
600468	百利电气	10.06	-1.18	-0.12	-0.30	0.80	1.79	8.35	4182.14万	5.32亿	53.55亿	83.39
603579	荣泰健康	126.81	-1.19	-1.53	-0.10	4.26	1.40	2.87	9409.84万	1750.00万	22.19亿	40.42
600527	江南高纤	4.94	-1.20	-0.06	--	1.13	1.31	3.60	4453.15万	8.02亿	39.62亿	65.85
600452	涪陵电力	49.59	-1.22	-0.61	0.59	0.69	1.65	5.04	5421.86万	1.60亿	79.34亿	35.93
600858	银座股份	8.13	-1.22	-0.10	0.25	0.46	1.50	3.89	1939.53万	5.18亿	42.08亿	28.33
600658	电子城	12.99	-1.22	-0.16	0.62	0.18	0.58	2.89	1377.04万	5.80亿	75.35亿	132.18
600405	动力源	8.91	-1.22	-0.11	-0.11	1.22	0.63	4.88	4647.07万	4.29亿	38.26亿	--
600211	西藏药业	50.06	-1.22	-0.62	-0.02	0.96	1.11	4.26	5486.40万	1.14亿	57.12亿	33.66
600721	百花村	13.70	-1.23	-0.17	0.07	0.37	0.72	2.74	1280.92万	2.49亿	34.05亿	69.46
600012	皖通高速	12.71	-1.24	-0.16	-0.16	0.66	1.60	7.46	9639.22万	11.66亿	148.15亿	17.95
600295	鄂尔多斯	8.72	-1.25	-0.11	-0.12	1.45	0.82	6.00	7693.09万	6.12亿	53.37亿	20.31
600891	秋林集团	7.12	-1.25	-0.09	-0.14	1.25	1.26	3.75	3394.52万	3.84亿	27.34亿	19.92
600711	盛屯矿业	6.32	-1.25	-0.08	--	1.14	1.63	5.47	1.04亿	14.57亿	92.07亿	25.14
600461	洪城水业	7.07	-1.26	-0.09	-0.70	0.82	1.14	2.93	3447.63万	5.94亿	42.00亿	25.34
603889	新澳股份	14.90	-1.26	-0.19	0.34	3.05	1.02	3.91	6404.15万	1.42亿	21.15亿	32.97
600426	华鲁恒升	12.55	-1.26	-0.16	-0.08	0.39	1.15	3.07	6129.68万	12.40亿	155.58亿	12.46
603138	海量数据	56.45	-1.26	-0.72	-0.23	14.32	0.75	5.44	1.63亿	2050.00万	11.57亿	183.24
600750	江中药业	32.57	-1.27	-0.42	0.53	0.68	0.87	4.55	6639.62万	3.00亿	97.71亿	22.37
600132	重庆啤酒	21.68	-1.27	-0.28	0.23	0.67	1.13	3.83	6944.00万	4.84亿	104.92亿	54.48
600080	金花股份	9.28	-1.28	-0.12	0.11	0.89	1.30	4.04	2496.61万	3.05亿	28.33亿	119.67
600525	长园集团	13.91	-1.28	-0.18	-0.07	0.32	1.05	2.48	5313.90万	12.16亿	169.14亿	104.02
600651	飞乐音响	8.46	-1.28	-0.11	0.12	1.37	1.03	4.55	8838.17万	7.69亿	65.03亿	--
601199	江南水务	6.91	-1.29	-0.09	0.15	0.60	0.82	2.86	3840.72万	9.35亿	64.62亿	34.64
603918	金桥信息	27.60	-1.29	-0.36	-0.47	1.09	1.12	3.58	3738.37万	1.23亿	34.04亿	--
603766	隆鑫通用	19.00	-1.30	-0.25	0.05	0.66	1.34	3.17	1.03亿	8.31亿	157.89亿	17.39
601208	东材科技	6.83	-1.30	-0.09	-0.29	0.89	1.60	5.20	3775.14万	6.27亿	42.80亿	23.05
600587	新华医疗	18.21	-1.30	-0.24	--	0.95	1.67	2.44	6951.31万	4.03亿	73.47亿	41.98
600512	腾达建设	4.55	-1.30	-0.06	0.44	1.55	1.42	6.29	6765.30万	9.71亿	44.17亿	51.31
600210	紫江企业	5.30	-1.30	-0.07	-0.19	1.37	1.12	4.28	1.04亿	14.37亿	76.15亿	4.44
603416	信捷电气	51.39	-1.31	-0.68	-0.41	7.91	2.20	5.67	1.01亿	2510.00万	12.90亿	51.76
600808	马钢股份	3.02	-1.31	-0.04	0.33	0.61	1.20	3.60	1.10亿	59.68亿	180.23亿	6.45
600107	美尔雅	10.53	-1.31	-0.14	-0.19	1.36	1.13	5.72	5119.59万	3.60亿	37.91亿	--
600283	钱江水利	11.23	-1.32	-0.15	0.09	1.53	0.90	4.04	5700.88万	3.36亿	37.72亿	183.65
600246	万通地产	4.49	-1.32	-0.06	-0.44	1.33	1.10	6.81	7197.22万	12.17亿	54.63亿	30.51
600055	万东医疗	17.16	-1.32	-0.23	--	0.60	1.05	5.29	3544.78万	3.46亿	59.43亿	706.98
600898	三联商社	14.04	-1.33	-0.19	-0.07	0.93	1.39	3.73	3277.45万	2.53亿	35.45亿	1192.86
603100	川仪股份	11.82	-1.34	-0.16	0.25	0.84	1.62	3.92	2302.89万	2.31亿	27.35亿	49.27
603227	雪峰科技	7.38	-1.34	-0.10	-0.27	1.89	0.75	4.41	5843.08万	4.22亿	31.11亿	--
600288	大恒科技	10.26	-1.35	-0.14	-0.10	1.40	1.30	4.42	6200.45万	4.37亿	44.82亿	--
600308	华泰股份	5.13	-1.35	-0.07	--	1.50	1.77	4.42	8934.76万	11.68亿	59.90亿	12.09
601168	西部矿业	6.56	-1.35	-0.09	--	0.86	1.32	5.26	1.34亿	23.83亿	156.32亿	97.66
600894	广日股份	12.35	-1.36	-0.17	-0.08	0.42	0.88	3.19	4424.05万	8.60亿	106.20亿	27.37
600212	江泉实业	7.98	-1.36	-0.11	--	1.24	0.79	4.70	5027.19万	5.12亿	40.83亿	208.53
600797	浙大网新	13.68	-1.37	-0.19	0.07	9.98	4.32	11.46	11.40亿	8.31亿	113.65亿	342.43
603020	爱普股份	15.09	-1.37	-0.21	--	1.45	1.57	4.18	4200.36万	1.93亿	29.19亿	33.17
