id	name	now_prices	up_down_rates	up_downs	up_rates	turnover_rates	volume_ratios	amplitudes	turnovers	tradable_shares	market_values	pe_ratios
300196	长海股份	34.97	1.98	0.68	-0.06	1.11	1.08	2.60	4541.58万	1.18亿	41.15亿	30.91
603360	百傲化学	34.50	1.98	0.67	0.03	7.75	0.98	3.75	8747.31万	3334.00万	11.50亿	41.84
600120	浙江东方	26.84	1.98	0.52	0.19	1.72	1.39	3.99	2.33亿	5.05亿	135.67亿	15.06
600332	白云山	26.91	1.97	0.52	0.04	0.50	0.82	2.46	1.44亿	10.71亿	288.25亿	22.57
002207	*ST准油 	8.80	1.97	0.17	--	4.16	0.98	4.17	7857.57万	2.17亿	19.08亿	8.40
300588	熙菱信息	41.50	1.97	0.80	--	5.02	0.59	3.49	5180.65万	2500.00万	10.38亿	704.13
000524	岭南控股	12.45	1.97	0.24	--	0.72	1.04	5.57	2410.63万	2.70亿	33.57亿	49.17
000559	万向钱潮	9.34	1.97	0.18	--	0.45	1.04	2.95	9600.01万	22.90亿	213.88亿	22.93
000498	山东路桥	7.28	1.96	0.14	--	1.66	1.04	2.38	4278.30万	3.54亿	25.78亿	76.00
601997	贵阳银行	16.17	1.96	0.31	0.25	5.32	1.10	3.59	4.29亿	5.00亿	80.85亿	9.61
300021	大禹节水	20.38	1.95	0.39	0.05	6.34	1.75	4.30	2.12亿	1.66亿	33.75亿	70.73
300144	宋城演艺	20.90	1.95	0.40	0.05	0.78	1.27	3.27	1.81亿	11.27亿	235.59亿	30.97
601169	北京银行	8.90	1.95	0.17	--	0.33	1.06	2.52	4.39亿	152.07亿	1353.39亿	6.21
002542	中化岩土	12.75	1.92	0.24	--	17.84	1.04	9.11	14.36亿	6.22亿	79.34亿	149.15
601919	中远海控	5.31	1.92	0.10	--	0.34	1.13	3.26	1.37亿	76.36亿	405.45亿	50.20
600260	凯乐科技	18.60	1.92	0.35	0.54	2.17	1.01	4.11	2.15亿	5.39亿	100.32亿	40.11
600320	振华重工	5.32	1.92	0.10	0.19	0.50	1.21	3.06	7305.06万	27.68亿	147.28亿	87.98
603766	隆鑫通用	19.36	1.90	0.36	-0.31	0.92	1.67	2.79	1.49亿	8.31亿	160.88亿	17.72
